,Unnamed: 0,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
992,85,0,0,0,4,0,13,13,22,3,3,13653,11,90013653,90000653,90000638,0,0,0,0,0,0,1,0,1115,0,653,0,0,86,54,0,0,0,0,0,0,187,0,2018,1,1,0,974998,6,638,128,0,0,0,0,0
993,86,0,6,6,13,0,42,42,17,10,11,14418,14,90014418,90001070,90001268,0,5,1,0,0,0,16,0,1114,3,1070,5,0,616,522,2,0,0,0,0,0,223,0,2018,1,18,1,975035,12,1268,814,1,1,1,3,0
994,87,3,3,5,14,3,158,158,14,10,12,14418,14,90014418,90001268,90001070,1,0,1,0,1,5,18,0,1115,3,1268,0,0,422,320,0,1,2,0,0,0,223,5,2018,1,13,6,975036,19,1070,628,3,0,0,0,3
995,88,0,2,2,27,0,63,63,14,19,16,13650,14,90013650,90000635,90000655,0,3,1,0,0,0,20,0,1115,2,635,3,0,394,290,0,0,0,0,0,0,187,0,2018,1,12,2,975072,19,655,659,4,0,1,3,0
996,89,2,3,5,16,3,142,142,20,15,15,13650,14,90013650,90000655,90000635,1,0,2,0,1,3,18,0,1115,2,655,0,0,446,331,1,0,0,0,0,0,187,3,2018,1,19,5,975073,16,635,701,1,0,0,0,3
997,90,0,3,6,19,0,53,53,15,20,18,14272,14,90014272,90000886,90001167,0,1,3,1,0,0,10,0,1063,7,886,1,0,342,269,1,0,0,0,0,0,178,0,2018,1,12,3,975110,7,1167,513,2,1,1,1,0
998,91,0,2,4,14,4,84,84,8,19,21,14272,14,90014272,90001167,90000886,1,0,3,0,1,1,9,0,1114,2,1167,0,0,357,276,0,1,1,0,0,1,178,1,2018,1,14,4,975111,6,886,519,3,0,0,0,1
999,92,1,1,3,12,0,87,87,18,11,9,14420,14,90014420,90000706,90000709,0,1,7,1,0,1,19,0,1115,2,706,1,0,428,297,0,0,0,0,0,0,223,1,2018,1,10,5,975148,18,709,644,2,0,1,1,1
1000,93,1,3,7,34,0,109,109,17,9,13,14420,14,90014420,90000709,90000706,0,1,4,1,0,1,32,0,1115,2,709,1,0,657,541,0,0,0,0,0,0,223,1,2018,1,24,9,975149,7,706,912,1,0,1,1,1
1001,94,1,3,3,13,0,89,89,13,5,13,13644,14,90013644,90000637,90000656,0,1,3,1,1,2,12,0,1115,0,637,1,1,278,179,0,0,0,0,0,0,187,2,2018,1,15,4,975186,18,656,503,2,0,1,1,2
1002,95,0,6,4,25,0,75,75,25,13,6,13644,14,90013644,90000656,90000637,0,2,2,0,0,0,11,0,1115,0,656,2,0,675,584,0,0,0,0,0,0,187,1,2018,1,18,4,975187,18,637,900,0,0,1,2,0
1003,0,0,1,3,9,0,60,60,22,12,11,15406,13,90015406,90001227,90001184,0,1,3,1,0,0,12,0,1115,2,1227,1,0,548,484,0,1,0,1,0,0,212,0,2018,1,18,6,970924,16,1184,726,0,0,1,1,0
1004,1,1,2,6,22,3,110,110,14,10,12,15406,14,90015406,90001184,90001227,1,0,6,0,1,1,22,0,1115,3,1184,0,0,403,342,1,0,0,0,0,0,212,1,2018,1,15,5,970925,9,1227,583,3,0,0,0,1
1005,2,0,0,2,6,3,100,100,13,12,15,15408,14,90015408,90000657,90000932,1,0,11,0,1,1,31,0,1115,0,657,0,0,355,244,0,0,0,0,0,0,212,1,2018,1,5,2,970962,16,932,635,3,0,0,0,1
1006,3,0,12,12,59,0,115,115,21,13,11,15408,14,90015408,90000932,90000657,0,1,1,1,0,0,20,0,1115,1,932,1,0,653,554,0,0,0,0,0,0,212,0,2018,1,32,11,970963,10,657,929,1,0,1,1,0
1007,4,1,2,4,18,3,119,119,19,16,13,12354,14,90012354,90000979,90000980,1,0,5,0,1,2,20,0,1115,5,979,0,0,491,361,0,1,1,0,0,0,183,2,2018,1,11,5,971401,10,980,701,2,0,0,0,2
1008,5,0,2,6,16,0,47,47,17,13,18,12354,14,90012354,90000980,90000979,0,2,2,0,0,0,16,0,1115,2,980,2,0,554,413,1,0,0,0,0,0,183,0,2018,1,13,5,971402,4,979,763,1,0,1,2,0
1009,6,0,4,6,20,0,68,68,14,10,7,10820,14,90010820,90000687,90000693,0,2,5,0,0,1,10,0,1043,2,687,2,0,306,187,1,0,0,0,0,1,170,1,2018,1,14,4,971428,10,693,541,1,0,1,2,1
1010,7,1,7,11,28,0,115,115,21,7,10,10820,14,90010820,90000693,90000687,0,1,3,1,1,2,19,0,1115,2,693,1,0,562,448,0,1,1,0,0,0,170,2,2018,1,21,10,971429,11,687,808,0,0,1,1,2
1011,8,1,2,3,19,0,74,74,15,18,23,12178,14,90012178,90000539,90000542,0,2,4,0,0,1,14,0,1115,1,539,2,0,541,408,0,0,0,0,0,0,145,1,2018,1,15,4,971487,6,542,734,2,0,1,2,1
1012,9,1,0,4,12,0,100,100,22,23,18,12178,14,90012178,90000542,90000539,0,1,3,1,1,2,12,0,1115,1,542,1,0,415,282,0,0,0,0,0,0,145,2,2018,1,11,6,971488,14,539,626,1,0,1,1,2
1013,10,0,1,4,20,0,45,45,6,5,18,11170,13,90011170,90000723,90000600,0,1,4,1,0,0,11,0,1059,3,723,1,0,529,465,1,0,0,0,1,0,147,1,2018,1,9,2,971525,13,600,742,3,1,1,1,0
1014,11,1,2,12,29,0,96,96,26,18,5,11170,14,90011170,90000600,90000723,0,1,2,1,0,1,13,0,1115,1,600,1,1,468,397,0,1,0,1,0,0,147,1,2018,1,18,5,971526,15,723,688,1,0,1,1,1
1015,12,2,3,6,33,0,108,108,16,18,16,12829,14,90012829,90000623,90000620,0,3,3,0,0,2,18,0,1115,1,623,3,0,417,332,1,0,0,0,0,0,182,2,2018,1,12,4,971563,16,620,639,3,0,1,3,2
1016,13,2,4,7,15,0,107,107,11,14,18,12829,14,90012829,90000620,90000623,0,2,2,0,1,3,9,0,1115,2,620,2,0,397,313,0,1,1,0,0,0,182,3,2018,1,15,6,971564,16,623,601,4,0,1,2,3
1017,14,0,3,12,30,0,76,76,12,12,15,13645,13,90013645,90000650,90000658,0,2,6,0,0,0,23,0,1068,1,650,2,0,430,315,0,0,0,0,0,0,187,0,2018,1,11,4,971600,18,658,684,2,1,1,2,0
1018,15,1,5,6,21,4,158,158,20,15,15,13645,14,90013645,90000658,90000650,1,0,5,0,1,2,20,0,1115,2,658,0,0,460,347,0,0,0,0,0,0,187,2,2018,1,24,12,971601,23,650,752,1,0,0,0,2
