,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
730,730,4,0,0,4,11,0,47,17,12,9,703,17,90000703,90000523,90000518,0,2,4,0,0,0,14,0,1115,1,523,0,0,375,294,0,0,0,0,0,0,1,2,2016,1,4,2,941,18,518,0,2,1,1,2,0
731,731,5,2,7,4,21,4,137,16,9,12,703,18,90000703,90000518,90000523,1,0,2,0,1,2,18,0,1115,3,518,0,0,715,660,0,0,0,0,0,0,1,2,2016,1,21,6,942,19,523,0,2,0,0,0,2
732,732,6,1,2,3,24,0,112,20,16,12,704,17,90000704,90000524,90000521,0,2,5,0,0,2,18,0,1115,3,524,0,0,484,395,0,0,1,0,0,0,1,2,2016,1,16,7,970,16,521,0,2,0,1,2,2
733,733,7,2,4,4,15,0,102,15,12,16,704,18,90000704,90000521,90000524,0,2,5,0,0,2,18,0,1115,3,521,0,0,563,458,0,0,0,0,0,0,1,2,2016,1,14,7,971,15,524,0,2,0,1,2,2
734,734,8,1,2,4,18,0,100,15,12,13,705,17,90000705,90000527,90000514,0,1,2,1,1,2,18,0,1115,1,527,0,0,272,176,0,0,0,0,0,0,1,1,2016,1,11,5,998,23,514,0,3,0,1,1,2
735,735,9,1,4,9,46,0,87,14,13,12,705,16,90000705,90000514,90000527,0,2,3,0,0,1,4,0,1107,1,514,0,0,616,524,0,0,0,0,0,1,1,1,2016,1,11,3,999,13,527,0,1,0,1,2,1
736,736,10,0,1,4,18,3,84,18,12,11,706,17,90000706,90000525,90000526,1,0,5,0,0,0,22,0,1115,0,525,0,0,321,218,0,0,0,0,0,0,1,0,2016,1,6,0,1027,22,526,0,2,0,0,0,0
737,737,11,0,3,2,37,3,91,18,11,14,706,18,90000706,90000526,90000525,1,0,0,0,0,0,22,0,1115,0,526,0,0,561,471,0,0,0,0,0,0,1,0,2016,1,18,5,1028,10,525,0,1,0,0,0,0
738,738,0,1,3,5,9,3,97,19,14,11,700,18,90000700,90000510,90000517,1,0,1,0,1,1,23,0,1115,3,510,0,0,601,516,0,0,0,0,0,0,1,0,2016,1,10,2,799,19,517,0,2,0,0,0,1
739,739,1,0,1,3,16,0,52,15,11,15,700,17,90000700,90000517,90000510,0,1,1,1,0,0,21,0,1115,4,517,0,0,497,401,0,0,0,0,0,0,1,0,2016,1,5,1,800,22,510,0,2,0,1,1,0
740,740,0,3,12,6,20,4,153,21,13,10,699,18,90000699,90000526,90000516,1,0,2,0,1,3,15,0,1115,0,526,0,0,861,781,0,0,0,0,0,0,1,0,2016,1,22,7,629,10,516,0,1,0,0,0,3
741,741,1,0,1,6,24,0,51,11,10,13,699,17,90000699,90000516,90000526,0,3,4,0,0,0,18,0,1115,2,516,0,0,369,300,0,0,0,0,0,0,1,0,2016,1,10,2,630,12,526,0,4,0,1,3,0
742,742,0,2,3,6,20,0,103,11,10,13,696,18,90000696,90000518,90000520,0,0,2,0,0,2,38,0,1115,3,518,0,0,438,348,0,0,0,0,0,0,1,2,2016,1,15,4,487,15,520,0,4,0,0,0,2
743,743,1,1,2,6,39,0,101,19,13,10,696,18,90000696,90000520,90000518,0,2,2,0,0,2,16,0,1115,0,520,0,0,546,446,0,0,0,0,0,0,1,2,2016,1,10,4,488,14,518,0,2,0,1,2,2
744,744,2,1,2,4,6,6,119,17,13,9,697,15,90000697,90000509,90000527,1,0,6,0,1,2,13,0,1103,1,509,0,0,395,280,0,0,0,0,0,0,1,0,2016,1,7,3,514,18,527,0,3,0,0,0,2
745,745,3,0,10,5,37,0,83,18,10,13,697,18,90000697,90000527,90000509,0,2,2,0,0,0,20,0,1115,3,527,0,0,626,542,0,0,0,0,0,0,1,0,2016,1,24,6,515,12,509,0,1,0,1,2,0
