,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
145,145,37,1,2,5,25,0,85,85,24,12,9,5676,14,90005676,90000515,90000521,0,2,2,0,0,1,14,0,1115,9,515,0,415,311,0,0,0,0,0,0,73,1,2017,1,10,4,465626,18,521,644,0,0,1,2,1
146,146,38,1,4,4,16,4,115,115,17,12,13,5679,14,90005679,90000526,90000520,1,0,6,0,1,1,24,0,1115,0,526,0,616,502,0,0,0,0,0,0,73,1,2017,1,11,3,465663,16,520,847,2,0,0,0,1
147,147,39,0,4,7,29,0,77,77,17,13,13,5679,14,90005679,90000520,90000526,0,1,2,1,0,0,27,0,1115,1,520,0,421,309,0,0,0,0,0,0,73,0,2017,1,19,6,465664,10,526,655,2,0,1,1,0
148,148,40,0,0,3,20,5,73,73,13,9,13,5680,12,90005680,90000973,90000857,1,0,3,0,0,0,15,0,1115,2,973,0,400,303,0,0,0,0,0,0,73,0,2017,1,7,2,465701,13,857,571,3,0,0,0,0
149,149,41,0,3,4,29,4,86,86,24,13,10,5680,14,90005680,90000857,90000973,1,0,2,0,0,0,7,0,1115,2,857,0,510,418,0,0,0,0,0,0,73,0,2017,1,13,5,465702,9,973,708,0,0,0,0,0
150,150,42,0,1,3,22,0,47,47,19,12,13,5681,14,90005681,90000527,90000523,0,1,5,1,0,0,5,0,1115,0,527,0,471,367,0,0,0,0,0,0,73,0,2017,1,4,2,465739,7,523,694,1,0,1,1,0
151,151,43,1,3,4,21,5,113,113,10,12,13,5681,14,90005681,90000523,90000527,1,0,1,0,1,1,16,0,1115,2,523,0,406,303,0,0,0,0,0,0,73,1,2017,1,15,6,465740,20,527,627,5,0,0,0,1
152,152,52,1,3,4,12,0,85,85,13,7,12,5683,13,90005683,90000508,90000511,0,1,0,1,1,2,16,0,1115,1,508,0,590,512,0,0,0,0,0,0,73,3,2017,1,16,5,465948,15,511,811,3,0,1,1,2
153,153,53,1,6,4,19,0,82,82,18,10,7,5683,14,90005683,90000511,90000508,0,3,3,0,0,1,20,0,1115,1,511,1,607,521,0,0,0,0,0,0,73,1,2017,1,13,1,465949,22,508,825,2,0,1,3,1
154,154,24,2,5,7,27,0,120,120,19,7,9,5664,13,90005664,90000523,90000524,0,1,0,1,1,3,7,0,1115,4,523,0,721,628,0,0,0,0,0,0,73,3,2017,1,20,9,460896,14,524,925,1,0,1,1,3
155,155,25,1,1,5,16,0,64,64,20,7,7,5664,13,90005664,90000524,90000523,0,3,5,0,0,1,10,0,1115,3,524,0,269,187,0,0,0,0,0,0,73,1,2017,1,4,1,460897,15,523,489,1,0,1,3,1
156,156,26,0,1,0,13,0,59,59,21,12,5,5665,14,90005665,90000509,90000527,0,3,5,0,0,0,22,0,1115,4,509,0,393,302,0,0,0,0,0,0,73,0,2017,1,7,2,460933,16,527,610,2,0,1,3,0
157,157,27,2,6,5,12,4,138,138,13,5,13,5665,14,90005665,90000527,90000509,1,0,2,0,1,3,16,0,1115,2,527,0,764,668,0,0,0,0,0,0,73,3,2017,1,23,9,460934,15,509,956,2,0,0,0,3
158,158,28,2,4,4,28,0,98,98,20,13,13,5669,14,90005669,90000972,90000973,0,4,1,0,0,2,24,0,1115,1,972,0,485,366,0,0,0,0,0,0,73,2,2017,1,13,4,460971,12,973,699,1,0,1,3,2
159,159,29,3,5,9,30,0,128,128,16,12,14,5669,14,90005669,90000973,90000972,0,2,2,0,1,4,10,0,1115,1,973,0,441,338,0,0,0,0,0,0,73,4,2017,1,19,5,460972,3,972,669,2,0,1,2,3
160,160,30,1,9,13,27,0,91,91,22,16,12,5672,14,90005672,90000520,90000512,0,3,4,0,0,1,11,0,1115,1,520,0,282,188,0,0,0,0,0,0,73,1,2017,1,19,3,461009,13,512,511,1,0,1,3,1
161,161,31,3,4,12,46,0,144,144,14,11,18,5672,12,90005672,90000512,90000520,0,1,2,1,1,3,9,0,1115,1,512,0,447,366,0,0,0,0,0,0,73,3,2017,1,28,10,461010,5,520,681,2,0,1,1,3
162,162,38,0,4,10,30,0,77,77,13,11,15,5671,13,90005671,90000511,90000516,0,2,2,0,0,1,18,0,1115,1,511,0,694,607,1,0,0,0,0,0,73,1,2017,1,19,7,461181,9,516,925,3,0,1,2,1
163,163,39,1,3,2,13,0,96,96,22,15,11,5671,13,90005671,90000516,90000511,0,1,6,1,1,2,19,0,1115,1,516,0,454,347,0,1,0,1,0,0,73,2,2017,1,11,4,461182,12,511,657,1,0,1,1,2
164,164,40,1,3,2,13,0,95,95,21,12,9,5673,13,90005673,90000515,90000508,0,2,6,0,0,2,25,0,1115,0,515,0,326,232,0,0,0,0,0,0,73,2,2017,1,7,2,461219,18,508,553,1,0,1,2,2
165,165,41,2,3,7,33,0,109,109,18,9,12,5673,12,90005673,90000508,90000515,0,2,0,0,0,2,9,0,1115,2,508,0,652,552,0,0,0,0,0,0,73,2,2017,1,22,9,461220,15,515,889,1,0,1,2,2
166,166,14,0,4,6,25,0,75,75,18,12,14,5666,14,90005666,90000514,90000522,0,2,6,0,0,0,15,0,1115,3,514,0,370,252,0,0,0,0,0,0,73,0,2017,1,16,3,459992,15,522,592,1,0,1,2,0
167,167,15,2,6,5,27,5,145,145,22,13,13,5666,14,90005666,90000522,90000514,1,0,4,0,1,2,12,0,1115,1,522,0,446,348,0,0,0,0,0,0,73,2,2017,1,21,9,459993,9,514,686,0,0,0,0,2
